tcode, birth_rate, delta, n_crit, r_score
8, 0.0001825267133647213, 100.0, 1.0, 0.37794473009980145
8, 0.005693271550358888, 3.3580715128836762, 2.0, 0.9049756206809854
8, 0.007386948607206965, 2.7373408877992116, 3.0, 0.9143255058697652
8, 0.008290774502412267, 2.5920823020363026, 4.0, 0.9201115974413415
8, 0.0089104519698925, 2.5416309305516274, 5.0, 0.924099115191079
8, 0.00938204354644688, 2.527094531810903, 6.0, 0.9273293576412418
8, 0.009762313855841477, 2.530818587369997, 7.0, 0.9301220274209993
8, 0.01008104243187364, 2.544870059497929, 8.0, 0.9324694852526423
8, 0.010354898452472212, 2.5663818472849425, 9.0, 0.9345553981889783
8, 0.010594965491196437, 2.5931638819157463, 10.0, 0.9363093181354617
8, 0.010808751966449063, 2.623814122141592, 11.0, 0.9376815474487203
8, 0.01100134653677267, 2.657805910655599, 12.0, 0.9387382489894198
8, 0.011176309587747485, 2.6952090955100663, 13.0, 0.9395851202282619
8, 0.011336558963241108, 2.7357326970723697, 14.0, 0.9402393605939291
8, 0.011484095081457703, 2.7797941832593778, 15.0, 0.9408276750467439
8, 0.011620608530000714, 2.827627052292913, 16.0, 0.9414065473563966
8, 0.011747477095167106, 2.8794960518269965, 17.0, 0.9419986706593131
8, 0.011865986346402716, 2.935285603809694, 18.0, 0.9425390658751606
8, 0.011977198145202548, 2.9949200543472347, 19.0, 0.9429671739503882
8, 0.012082004323943739, 3.0583281942399587, 20.0, 0.9432544591180118
8, 0.012180950061911012, 3.126171582705286, 21.0, 0.9434514399293228
8, 0.012274775877376179, 3.198192804412148, 22.0, 0.9434737145287437
8, 0.012363926318366957, 3.274855085825977, 23.0, 0.9433560159994635
8, 0.012448788736182001, 3.356680012985944, 24.0, 0.9431185788411595
8, 0.012529770583735698, 3.443945561855048, 25.0, 0.9427569025632323
8, 0.012607107836060958, 3.5375520671883316, 26.0, 0.9423225845711862
8, 0.012681129645487134, 3.637915768511196, 27.0, 0.9417960836948507
8, 0.012752073512833464, 3.7458061625551724, 28.0, 0.9411940228544998
8, 0.012820157850683975, 3.862064713695112, 29.0, 0.9405379612644187
8, 0.0128855172043473, 3.988069534631122, 30.0, 0.9398685303534147
8, 0.012948387938008956, 4.124630834505706, 31.0, 0.9391653447340338
8, 0.01300886574809219, 4.27358705405865, 32.0, 0.93845923464968
8, 0.01306718696246134, 4.435907267970634, 33.0, 0.9376710675831117
8, 0.01312358538840882, 4.61247896993623, 34.0, 0.9367426667131225
8, 0.013178115460348689, 4.805860539564564, 35.0, 0.9357130318081944
8, 0.013230916910684, 5.018199839972318, 36.0, 0.9345396001164077
8, 0.013282166317769873, 5.251455583798018, 37.0, 0.9331426918785478
8, 0.01333204323507956, 5.5076037438635845, 38.0, 0.931454195100956
8, 0.013380619414124243, 5.790257514155917, 39.0, 0.9294809771316181
8, 0.013427953235756107, 6.103982458208776, 40.0, 0.927222692244819
8, 0.013474165726733059, 6.4531063654893694, 41.0, 0.9246497240302292
8, 0.013519257142236235, 6.84528638919962, 42.0, 0.9217980967596463
8, 0.013563342170359942, 7.287515276968441, 43.0, 0.9186342224264981
8, 0.013606414813454168, 7.791698457728134, 44.0, 0.9151920739772109
8, 0.013648562905459481, 8.370559987450052, 45.0, 0.9114258532372455
8, 0.013689881229467902, 9.040013945363555, 46.0, 0.9072927491067141
8, 0.013730401331210578, 9.823582256164995, 47.0, 0.9027850155732091
8, 0.0137702256719657, 10.749350125019932, 48.0, 0.8978602289582192
8, 0.013809358010036011, 11.861790760254364, 49.0, 0.892556257583779
8, 0.013847789303199527, 13.227265752557942, 50.0, 0.8869061677529713
8, 0.013885544558712213, 14.944029587906682, 51.0, 0.8808978066726043
8, 0.013922724359515451, 17.156609463951916, 52.0, 0.874481030812644
8, 0.013959329197917382, 20.120850552524125, 53.0, 0.8676886011857092
8, 0.01399534727909917, 24.309283815057086, 54.0, 0.8605500602149221
8, 0.014030830147158209, 30.663195821422715, 55.0, 0.8530526380770028
8, 0.014065778548092918, 41.465401148849416, 56.0, 0.8452253166822438
8, 0.014100196244445471, 63.93771873802057, 57.0, 0.8370958449447674
8, 0.014138831519426558, 100.0, 58.0, 0.8286748645655103
8, 0.014186125677953004, 100.0, 59.0, 0.819783806977034
8, 0.014232489900919522, 100.0, 60.0, 0.8103505973047077
8, 0.014277951751991983, 100.0, 61.0, 0.8004103723467955
8, 0.014322538142288314, 100.0, 62.0, 0.7899961827278812
8, 0.014366273609378788, 100.0, 63.0, 0.77913916326524
8, 0.014409181868894987, 100.0, 64.0, 0.7678686875354673
8, 0.014451285584791447, 100.0, 65.0, 0.7562117125885248
8, 0.0144926137870331, 100.0, 66.0, 0.7441144066464495
8, 0.014533186733423435, 100.0, 67.0, 0.7316047336309858
8, 0.01457302375629809, 100.0, 68.0, 0.7187091989409564
8, 0.01461214334981479, 100.0, 69.0, 0.7054525776549387
8, 0.01465056676293198, 100.0, 70.0, 0.6918202849984033
8, 0.014688310760143182, 100.0, 71.0, 0.6778360797192691
8, 0.014725394901183703, 100.0, 72.0, 0.6634850897388944
8, 0.014761834372102595, 100.0, 73.0, 0.6487905442592803
8, 0.014797643706029154, 100.0, 74.0, 0.6337746101818307
8, 0.014832836814990768, 100.0, 75.0, 0.6184584680793426
8, 0.014867427020921446, 100.0, 76.0, 0.6028623823885747
8, 0.014901427151342518, 100.0, 77.0, 0.5870050552458839
8, 0.014934856215069474, 100.0, 78.0, 0.5708334742306
8, 0.014967725736256146, 100.0, 79.0, 0.5543677597910186
8, 0.015000045950788328, 100.0, 80.0, 0.5376272291061879
8, 0.015031829102301376, 100.0, 81.0, 0.5206301062616473
8, 0.015063087851332027, 100.0, 82.0, 0.5033595001256042
8, 0.015093831856568651, 100.0, 83.0, 0.48583364836679166
8, 0.015124070384133529, 100.0, 84.0, 0.46807013204859105
8, 0.01515381232157444, 100.0, 85.0, 0.4500859203118648
8, 0.015183066197246001, 100.0, 86.0, 0.4318974122005984
8, 0.015211840191724238, 100.0, 87.0, 0.4135204758687677
8, 0.015240142151806028, 100.0, 88.0, 0.3949704853859519
8, 0.015267979633790379, 100.0, 89.0, 0.37626203245977086
8, 0.01529536298080156, 100.0, 90.0, 0.3573770555399082
8, 0.015322299044318645, 100.0, 91.0, 0.33833047838040964
8, 0.01534879439206712, 100.0, 92.0, 0.319136816533214
8, 0.015374855350722435, 100.0, 93.0, 0.29980989222753407
8, 0.015400491010974616, 100.0, 94.0, 0.2803317752469324
8, 0.015425707089067217, 100.0, 95.0, 0.260716686291662
8, 0.015450509054750938, 100.0, 96.0, 0.24097850994389414
8, 0.015474902148002928, 100.0, 97.0, 0.22113082021759922
8, 0.015498891372747441, 100.0, 98.0, 0.2011869048972692
